sent	relation	contig	matches POS	between args	meets constraints	reason
This is the best place to be for every Vi user or Vi user wannabe.	is the best place to be for	1	1	1	1	
It will translate a phrase or a single word .	will translate	1	1	1	1	
I can't sleep with my boyfriend without getting super drunk.	can't sleep with	1	1	1	1	
"Some public chat rooms are monitored more frequently than others, depending on the COS and the type of chat room."	are monitored more frequently than	1	1	1	1	
Walls impede my progress.	impede	1	1	1	1	
This article is not unlike that.	is not unlike	1	1	1	1	
I turns out that it only takes 5 drunk men about 20 minutes to think up new uses for women's sanitary products.	think up new uses for	1	1	1	1	
"Don't get me wrong: Emacs is a great operating system---it lacks a good editor, though."	is	1	1	1	1	
"Don't get me wrong: Emacs is a great operating system---it lacks a good editor, though."	lacks	1	1	1	1	
"Select only the services you are comfortable with - like Facebook, Twitter, or Google Reader - to let your friends know what you like on YouTube."	are comfortable with	1	1	0	0	not between args - relative clause
"However, looking good doesn't have to pack a wallop on the budget."	doesn't have to pack a wallop on	1	1	1	1	
"Brian Droitcour is a writer, curator, and Russian-to-English translator."	is	1	1	1	1	
"But if they are wounded or killed, they are often left to fend for themselves."	often left to fend for	1	1	1	1	
"Using statistics from data provider Onboard Informatics, we crunched the numbers in order to zero in on America's best small towns for families."	using statistics from	0	1	0	0	introductory - participle
"Using statistics from data provider Onboard Informatics, we crunched the numbers in order to zero in on America's best small towns for families."	crunched	1	1	1	1	
"It has been great fun and very rewarding, and I have met some fantastic people both online and in person, but I have decided that I want to spend more time next year on both personal projects and watching my children grow up."	have met	1	1	1	1	
"It has been great fun and very rewarding, and I have met some fantastic people both online and in person, but I have decided that I want to spend more time next year on both personal projects and watching my children grow up."	want to spend more time on	0	1	1	0	interrupting modifier
Thank you everyone who voted for this video in the 2007 YouTube Video Awards.	voted for	1	1	1	1	
A nerdy fanzine discovered in 2009.	discovered in	1	1	1	1	
Barnardo's shops urgently need new stock.	urgently need	1	1	1	1	
"Long a ubiquitous part of modern life, plastics are now in everything from diapers to water bottles to cell phones."	are now in	1	1	1	1	
"She is also an artist, writer, curator, and Adjunct Faculty at Emerson College."	is Adjunct Faculty at	0	1	1	0	coordination
"She is also an artist, writer, curator, and Adjunct Faculty at Emerson College."	is	1	1	1	1	
The Supreme Court agreed to hear a case that will determine what privacy safeguards apply to text messages transmitted through government employees' pagers.	agreed to hear	1	1	1	1	
The Supreme Court agreed to hear a case that will determine what privacy safeguards apply to text messages transmitted through government employees' pagers.	will determine	1	1	1	1	
The Supreme Court agreed to hear a case that will determine what privacy safeguards apply to text messages transmitted through government employees' pagers.	apply to	1	1	1	1	
The Supreme Court agreed to hear a case that will determine what privacy safeguards apply to text messages transmitted through government employees' pagers.	transmitted through	1	1	1	1	
"If you have any questions you would like to ask, post it on the wall of our group, or tomorrow during the show you can IM us at wrbbradio!"	have	1	1	1	1	
"If you have any questions you would like to ask, post it on the wall of our group, or tomorrow during the show you can IM us at wrbbradio!"	can IM	1	1	1	1	
"One can use these Jabber bots to provide information about running systems, to make Web sites interact with Jabber-enabled visitors, or notify the bot owner about updates or changes that are monitored with custom Python scripts."	can use	1	1	1	1	
"One can use these Jabber bots to provide information about running systems, to make Web sites interact with Jabber-enabled visitors, or notify the bot owner about updates or changes that are monitored with custom Python scripts."	to provide information about	1	0	1	0	infinitive
"One can use these Jabber bots to provide information about running systems, to make Web sites interact with Jabber-enabled visitors, or notify the bot owner about updates or changes that are monitored with custom Python scripts."	notify	1	1	1	1	
"One can use these Jabber bots to provide information about running systems, to make Web sites interact with Jabber-enabled visitors, or notify the bot owner about updates or changes that are monitored with custom Python scripts."	are monitored with	1	1	1	1	
"If we're getting paid, it takes about $75,000 per year to run Cursor, which could be less if another organization takes us on, or, takes us over."	takes _ on	0	0	0	0	phrasal verb
"If we're getting paid, it takes about $75,000 per year to run Cursor, which could be less if another organization takes us on, or, takes us over."	takes _ over	0	0	0	0	phrasal verb
The Republicans took control of the US senate shortly thereafter.	took control of	1	1	1	1	
At Callista this is the imperative.	is the imperative at	0	0	0	0	introductory - preposition
"In pursuit of cheap holiday-appropriate whites, we found an unsung bargain hidden in plain sight."	found	1	1	1	1	
"In pursuit of cheap holiday-appropriate whites, we found an unsung bargain hidden in plain sight."	hidden in	1	1	1	1	
Dueling male-female vocals help make this STZA's most heartfelt & emotional album to date- the LP is packaged with a free mp3 download code!	is packaged with	1	1	1	1	
Thoemmes gives permission to download them.	gives permission to download	1	1	1	1	
A number of biologists are challenging the long-held orthodoxy that alien species are inherently bad.	are challenging	1	1	1	1	
A number of biologists are challenging the long-held orthodoxy that alien species are inherently bad.	are inherently	1	1	1	1	
I get a might pissed off when I have advertising shoved into any orifice the retailers can reach.	shoved into	1	1	1	1	
I get a might pissed off when I have advertising shoved into any orifice the retailers can reach.	can reach	1	1	0	0	not between args - relative clause
Shakespere might not be who you thought.	might not be	1	1	1	1	
It was an amazing time once again.	was	1	1	1	1	
South East Roads covers the southeastern U.S.	covers	1	1	1	1	
Addressing the rumours that have been swirling the internet for the past few weeks.	have been swirling	1	1	1	1	
"It can serve up files via SMB, AFP, NFS, FTP, and a variety of other alphabet-soup protocols."	can serve up files via	1	1	1	1	
It was my strongest subject in high school.	was	1	1	1	1	
Cursor.org was a lefty daily news aggregator that was blissfully straightforward.	was	1	1	1	1	
Cursor.org was a lefty daily news aggregator that was blissfully straightforward.	was	1	1	1	1	
They may even be a person with similar interests.	may even be	1	1	1	1	
"DarkIce can record from OSS audio devices, ALSA audio devices, Solaris audio interfaces, and Jack sources."	can record from	1	1	1	1	
The various Google/iCal sync things I've tried have been iffy in the past.	ve tried	1	1	0	0	not between args - relative clause
The various Google/iCal sync things I've tried have been iffy in the past.	been	1	1	1	1	
